tweet_id,month,text,country
6.25E+17,2015-07-25 00:24:23.000000 UTC,38407568,RT  XxbrokenbentxX  There s no way she committed suicide http   t co EVi SOu ao,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,287150883,RT  TaurusIsMagic   Taurus will keep secrets until the day they ll die ,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,221885992,RT  TaurusIsMagic   Taurus will keep secrets until the day they ll die ,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,15684880, neshypacific  SallyRMelb just rescue the people  ,6.25E+17,350750714,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,20217677,RT  solarcitizens  So many people at the save our solar forum    SolarCouncil   ALPConf     http   t co z Dk rJtDO,,,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,435538745, moe jpg inshAllah soon,6.25E+17,3319491352,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,1455980107,RT  BrooksBeau  Sunset vibes  New dirty pig stuff soon https   t co QFIgpzSVgv,,,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,22654286, tripleh  AustraliaWwewantsinfo,6.25E+17,22654286,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,19621915,Thanks so much to everyone who popped into the stream  was a great night and much screaming while playing veteran mode of Torchlight II ,,,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,19759310,Never get tired of photographing our Post Office Clock from different spots   This one is taken from     http   t co t JmDbzlNc,,,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,1557392298,RT  hellokaty  bai huntington http   t co gJ CfCRuJI,,,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,138294089,RT  deanpet    All the action from Caulfield CH   from      am   Globalgallop  JaseRicho  GatorGately  cdsymons big program the feature Ble   ,,,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,1659087428, chalifromcali  veewxyz one more mf sleep yo ,6.24E+17,617068056,USA
6.25E+17,2015-07-25 00:24:25.000000 UTC,53207709, Illithyia Happy Birthday            ,,23530439,USA
6.25E+17,2015-07-25 00:24:25.000000 UTC,478433073,Great game by the  UQFC  U   Rubies vs Taringa s Frilly Necks this morning  Kept possession most of    https   t co  NLW L pAL,,,USA
6.25E+17,2015-07-25 00:24:25.000000 UTC,1180474214,New post  Fanelle  Female Apprentice Network Australia http   t co eoarOib Sl,,,USA
6.25E+17,2015-07-25 00:24:25.000000 UTC,302350461, tongotongoz You ve got my attention    ,6.25E+17,762605796,USA
6.25E+17,2015-07-25 00:24:25.000000 UTC,378273172,RT  AristtleQuotes  In medicine this  the good  is health  in strategy  victory  in architecture   a building  different things in differen   ,,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,182218783, Some more beauties left the nest this week  making their way to Soho Boutique Bendigo              http   t co YamLxleSLy,,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,335847011,RT  neilvdp  Met the man behind the butter yesterday  One tasty lunch        Europcar AU  AvantiRacing  ShimanoOZ  pioneercyclo http   t co ga   ,,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,200291228,RT  PartyAtSpago  Join Craig  amp  Nige today from  pm for another hilarious episode of Post Party at Spago s  live and exclusive on    http      ,,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,291239811,RT  robbyears  imagina se toda a comida do mundo fosse de gra  a e vc nao engordasse nunca,,,USA
