tweet_id,created_at,from_user_id,text,in_reply_to_status_id,to_user_id,location
6.25E+17,2015-07-25 00:24:20.000000 UTC,36311109,.@amyschumer Are you planning any publicity for your Australian tour ??,,,USA
6.25E+17,2015-07-25 00:24:20.000000 UTC,226440623,"Angry misogynist murders women at showing of film by feminist comedian; police worry ""we may not… http://t.co/BSxOgG8vuU via @DavidFutrelle",,,USA
6.25E+17,2015-07-25 00:24:20.000000 UTC,115275220,"RT @SimpsonsQOTD: ""Hi Lisa, hi Super-Nintendo Chalmers."" http://t.co/13M3loo8FZ",,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,39677805,"RT @SomeAreBent: However the industry should be able to give itself 5 weeks ""clear air"" from Caulfield Guineas to Emirates Stakes Day.",,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,1240547660,I'm so in love with you http://t.co/KQIRy0Uh8G,,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,126266477,ラブライブはメイン9人、メルストは主人公と仲間数人を覚えておけばとりあえず良いのでいくらキャラが増えてもそんな重圧はないし、覚えなくても良いキャラ軍の中でお気に入りの子を見つける楽しみが逆にある。,,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,363559966,RT @waynecarey27: In TERMS of PRESSURE!!! Teams not as talented as the HAWKS don't cover as well !! Mitchell's standing in the game is unqu…,,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,146385468,"I cannot begin to tell you how much I loved this book. I finished it, and then immediately started… https://t.co/giDLNhFBX3",,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,631905603,RT @SamFazz: can everyone stop talking about Carter Reynolds and just let him fall into the deep hole of irrelevancy that he inevitably dug…,,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,45001494,"جائتني ابنتي ذات الستة أعوام تسألني عن #أمي رحمها ﷲ فأخبرتها بأنها عند ﷲ ﷻ
المفاجأة أنها انفجرت باكية لأنها لن تراها بعد الآن

#شعور_مؤلم",,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,21714913,Boots. #atthehairdresser #leopardprint #boots #fashion #mirror #reflection https://t.co/02NO5qNHRz,,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,282877901,RT @BrooksBeau: Sunset vibes. New dirty pig stuff soon https://t.co/QFIgpzSVgv,,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,553323641,RT @TheFunnyTeens: *texts back 3 weeks later* sorry i fell asleep,,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,320413293,RT @BrooksBeau: Sunset vibes. New dirty pig stuff soon https://t.co/QFIgpzSVgv,,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,140274281,@Jaclynhill what is your best advice to give an 18 year old girl looking to start her future? Love from your fellow Florida girl💖💖💖🎀,,369238299,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,424998865,#AFL Hawthorn star Sam Mitchell shrugs off Wayne Carey jibe: Sam Mitchell has joked he will have to work on hi...  http://t.co/GWL9O4ycjM,,,USA
6.25E+17,2015-07-25 00:24:21.000000 UTC,1032024872,YAS!! Longer episodessss https://t.co/EC92UcjEVa,,,USA
6.25E+17,2015-07-25 00:24:22.000000 UTC,94203751,Win Our Signature Fusion Collection Set ($398 value) http://t.co/8dbJc53Gti via @,,,USA
6.25E+17,2015-07-25 00:24:22.000000 UTC,187747108,Match started: Allstars u12 v sheldon u12 : Scores http://t.co/grTRI4fg50,,,USA
6.25E+17,2015-07-25 00:24:22.000000 UTC,467174307,"...Phoebe, Sasha, Yuki + heaps more... are all waiting to make your stay a most memorable one. Visit us at 741 Geelong Road, Brooklyn.",,,USA
6.25E+17,2015-07-25 00:24:22.000000 UTC,330822959,@justinbieber ilyyy,6.25E+17,27260086,USA
6.25E+17,2015-07-25 00:24:22.000000 UTC,363157889,"RT @alzuair: في #السعودية
60%يعانون السمنة
60%جاهزون للانضمام إلى #داعش
60%يملكون منازل👍
60%لايملكون منازل👎

إحصاءات علمية دقيقة😀 http://t.…",,,USA
6.25E+17,2015-07-25 00:24:22.000000 UTC,260916963,RT @fedupofpollys: #auspol http://t.co/Qgp0xdoXvZ,,,USA
6.25E+17,2015-07-25 00:24:22.000000 UTC,103801600,RT @marymredith79: #Israele gag order journalists👄#IDF capture in #Gaza -take2release imprison #Palestine #BDS http://t.co/Q7bipWsmxK http:…,,,USA
6.25E+17,2015-07-25 00:24:22.000000 UTC,141927001,@sophiejrigney I know. I'm wracking my brains for ways to deal w this. Logic has become all twisted :(,6.25E+17,830354317,USA
6.25E+17,2015-07-25 00:24:22.000000 UTC,50242847,"Truly, I have been waiting my whole life to see this image of Pluto. Thank you @NASANewHorizons and her team. http://t.co/blOoAHbpoo",,,USA
6.25E+17,2015-07-25 00:24:22.000000 UTC,14099585,How to Get Out of Your Own Way &amp;amp; Start Living the Life You Want http://t.co/3dtZlqk9fQ,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,277530565,"So Baleful! These new eldrich portals are out today, and can instantly transport your forces from one side of the... http://t.co/C0P1V1Zvh9",,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,275937233,nice_beat #MorningAll ♫ Aganjú by Bebel Gilberto — https://t.co/xdbx0D3WxJ,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,632028556,@Bilalisgoren  sen muhteşemsin sırf senin için ünvye nevşehire gelebilirim,,703931480,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,440693259,Officially sick,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,15132414,don't forget to join our mailing list! http://t.co/ZiN235Bi56,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,140063245,#railsgirlsbne @robjacoby #nolove http://t.co/KE2tVSECqk,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,101474099,+ BRAZIL GHOST The ghost of Ana Jansen http://t.co/TxhPg92WaE,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,25795982,RT @Biggy1883: @Jarrapin @independentaus let`s hope this helps the ALP turn Left as well #auspol http://t.co/kSbgvGQTFI,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,113203347,http://t.co/wCeKq1YT7l,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,38407568,RT @XxbrokenbentxX: There's no way she committed suicide http://t.co/EVi1SOu9ao,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,287150883,RT @TaurusIsMagic: #Taurus will keep secrets until the day they'll die.,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,221885992,RT @TaurusIsMagic: #Taurus will keep secrets until the day they'll die.,,,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,15684880,@neshypacific @SallyRMelb just rescue the people..,6.25E+17,350750714,USA
6.25E+17,2015-07-25 00:24:23.000000 UTC,20217677,RT @solarcitizens: So many people at the save our solar forum.  @SolarCouncil  #ALPConf2015 http://t.co/z0Dk3rJtDO,,,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,435538745,@moe_jpg inshAllah soon,6.25E+17,3319491352,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,1455980107,RT @BrooksBeau: Sunset vibes. New dirty pig stuff soon https://t.co/QFIgpzSVgv,,,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,22654286,@tripleh #AustraliaWwewantsinfo,6.25E+17,22654286,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,19621915,Thanks so much to everyone who popped into the stream! was a great night and much screaming while playing veteran mode of Torchlight II.,,,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,19759310,Never get tired of photographing our Post Office Clock from different spots.  This one is taken from ... http://t.co/t9JmDbzlNc,,,USA
